Results:

Channel 1:
Segment 1:
Ep = 0.298V
ip = -5.690e-9A
Ah = -5.633e-9C

Segment 2:
Ep = 0.123V
ip = 5.238e-9A
Ah = 5.427e-9C

Potential/V	Current/A
0.365	-6.035e-9
0.366	-6.034e-9
0.367	-6.033e-9
0.368	-6.031e-9
0.369	-6.029e-9
0.370	-6.027e-9
0.371	-6.027e-9
0.372	-6.026e-9
0.373	-6.024e-9
0.374	-6.024e-9
0.375	-6.023e-9
0.376	-6.021e-9
0.377	-6.019e-9
0.378	-6.018e-9
0.379	-6.017e-9
0.380	-6.017e-9
0.381	-6.016e-9
0.382	-6.014e-9
0.383	-6.013e-9
0.384	-6.011e-9
0.385	-6.011e-9
0.386	-6.010e-9
0.387	-6.007e-9
0.388	-6.008e-9
0.389	-6.008e-9
0.390	-6.005e-9
0.391	-6.005e-9
0.392	-6.003e-9
0.393	-6.003e-9
0.394	-6.004e-9
0.395	-6.003e-9
0.396	-6.002e-9
0.397	-6.000e-9
0.398	-6.000e-9
0.399	-6.000e-9
0.400	-5.984e-9
0.399	-5.941e-9
0.398	-5.909e-9
0.397	-5.888e-9
0.396	-5.871e-9
0.395	-5.858e-9
0.394	-5.848e-9
0.393	-5.835e-9
0.392	-5.825e-9
0.391	-5.819e-9
0.390	-5.810e-9
0.389	-5.802e-9
0.388	-5.793e-9
0.387	-5.787e-9
0.386	-5.783e-9
0.385	-5.777e-9
0.384	-5.770e-9
0.383	-5.763e-9
0.382	-5.757e-9
0.381	-5.749e-9
0.380	-5.743e-9
0.379	-5.739e-9
0.378	-5.734e-9
0.377	-5.728e-9
0.376	-5.723e-9
0.375	-5.716e-9
0.374	-5.713e-9
0.373	-5.709e-9
0.372	-5.703e-9
0.371	-5.698e-9
0.370	-5.693e-9
0.369	-5.689e-9
0.368	-5.684e-9
0.367	-5.680e-9
0.366	-5.674e-9
0.365	-5.669e-9
0.364	-5.666e-9
0.363	-5.660e-9
0.362	-5.656e-9
0.361	-5.652e-9
0.360	-5.648e-9
0.359	-5.644e-9
0.358	-5.639e-9
0.357	-5.637e-9
0.356	-5.632e-9
0.355	-5.626e-9
0.354	-5.623e-9
0.353	-5.617e-9
0.352	-5.614e-9
0.351	-5.610e-9
0.350	-5.605e-9
0.349	-5.602e-9
0.348	-5.597e-9
0.347	-5.594e-9
0.346	-5.589e-9
0.345	-5.584e-9
0.344	-5.580e-9
0.343	-5.576e-9
0.342	-5.572e-9
0.341	-5.567e-9
0.340	-5.562e-9
0.339	-5.557e-9
0.338	-5.552e-9
0.337	-5.548e-9
0.336	-5.544e-9
0.335	-5.538e-9
0.334	-5.534e-9
0.333	-5.527e-9
0.332	-5.523e-9
0.331	-5.518e-9
0.330	-5.512e-9
0.329	-5.508e-9
0.328	-5.501e-9
0.327	-5.495e-9
0.326	-5.490e-9
0.325	-5.484e-9
0.324	-5.477e-9
0.323	-5.471e-9
0.322	-5.466e-9
0.321	-5.460e-9
0.320	-5.453e-9
0.319	-5.447e-9
0.318	-5.438e-9
0.317	-5.431e-9
0.316	-5.425e-9
0.315	-5.418e-9
0.314	-5.410e-9
0.313	-5.402e-9
0.312	-5.395e-9
0.311	-5.388e-9
0.310	-5.379e-9
0.309	-5.369e-9
0.308	-5.360e-9
0.307	-5.352e-9
0.306	-5.342e-9
0.305	-5.334e-9
0.304	-5.323e-9
0.303	-5.312e-9
0.302	-5.301e-9
0.301	-5.289e-9
0.300	-5.277e-9
0.299	-5.265e-9
0.298	-5.254e-9
0.297	-5.243e-9
0.296	-5.232e-9
0.295	-5.218e-9
0.294	-5.205e-9
0.293	-5.190e-9
0.292	-5.176e-9
0.291	-5.163e-9
0.290	-5.147e-9
0.289	-5.132e-9
0.288	-5.114e-9
0.287	-5.096e-9
0.286	-5.080e-9
0.285	-5.064e-9
0.284	-5.048e-9
0.283	-5.027e-9
0.282	-5.005e-9
0.281	-4.984e-9
0.280	-4.962e-9
0.279	-4.942e-9
0.278	-4.921e-9
0.277	-4.899e-9
0.276	-4.876e-9
0.275	-4.852e-9
0.274	-4.827e-9
0.273	-4.800e-9
0.272	-4.775e-9
0.271	-4.749e-9
0.270	-4.720e-9
0.269	-4.692e-9
0.268	-4.663e-9
0.267	-4.633e-9
0.266	-4.601e-9
0.265	-4.569e-9
0.264	-4.537e-9
0.263	-4.502e-9
0.262	-4.468e-9
0.261	-4.432e-9
0.260	-4.396e-9
0.259	-4.358e-9
0.258	-4.318e-9
0.257	-4.279e-9
0.256	-4.240e-9
0.255	-4.198e-9
0.254	-4.154e-9
0.253	-4.111e-9
0.252	-4.067e-9
0.251	-4.021e-9
0.250	-3.973e-9
0.249	-3.927e-9
0.248	-3.877e-9
0.247	-3.828e-9
0.246	-3.778e-9
0.245	-3.726e-9
0.244	-3.675e-9
0.243	-3.621e-9
0.242	-3.565e-9
0.241	-3.509e-9
0.240	-3.453e-9
0.239	-3.395e-9
0.238	-3.336e-9
0.237	-3.277e-9
0.236	-3.217e-9
0.235	-3.156e-9
0.234	-3.096e-9
0.233	-3.035e-9
0.232	-2.972e-9
0.231	-2.908e-9
0.230	-2.844e-9
0.229	-2.780e-9
0.228	-2.714e-9
0.227	-2.650e-9
0.226	-2.584e-9
0.225	-2.518e-9
0.224	-2.450e-9
0.223	-2.383e-9
0.222	-2.317e-9
0.221	-2.250e-9
0.220	-2.183e-9
0.219	-2.116e-9
0.218	-2.048e-9
0.217	-1.982e-9
0.216	-1.914e-9
0.215	-1.848e-9
0.214	-1.781e-9
0.213	-1.714e-9
0.212	-1.650e-9
0.211	-1.585e-9
0.210	-1.520e-9
0.209	-1.457e-9
0.208	-1.393e-9
0.207	-1.331e-9
0.206	-1.269e-9
0.205	-1.207e-9
0.204	-1.146e-9
0.203	-1.087e-9
0.202	-1.029e-9
0.201	-9.715e-10
0.200	-9.143e-10
0.199	-8.591e-10
0.198	-8.045e-10
0.197	-7.511e-10
0.196	-6.985e-10
0.195	-6.476e-10
0.194	-5.975e-10
0.193	-5.482e-10
0.192	-5.007e-10
0.191	-4.536e-10
0.190	-4.079e-10
0.189	-3.640e-10
0.188	-3.212e-10
0.187	-2.802e-10
0.186	-2.391e-10
0.185	-1.997e-10
