Distance/um	Current/A
293.814	-5.150e-9
294.814	-5.150e-9
295.814	-5.150e-9
296.814	-5.149e-9
297.814	-5.149e-9
298.814	-5.149e-9
299.814	-5.148e-9
300.814	-5.148e-9
301.814	-5.148e-9
302.814	-5.149e-9
303.814	-5.149e-9
304.814	-5.150e-9
305.814	-5.150e-9
306.814	-5.148e-9
307.814	-5.148e-9
308.814	-5.148e-9
309.814	-5.148e-9
310.814	-5.148e-9
311.814	-5.148e-9
312.814	-5.149e-9
313.814	-5.149e-9
314.814	-5.149e-9
315.814	-5.149e-9
316.814	-5.148e-9
317.814	-5.148e-9
318.814	-5.147e-9
319.814	-5.147e-9
320.814	-5.148e-9
321.814	-5.147e-9
322.814	-5.147e-9
323.814	-5.149e-9
324.814	-5.149e-9
325.814	-5.149e-9
326.814	-5.147e-9
327.814	-5.146e-9
328.814	-5.146e-9
329.814	-5.147e-9
330.814	-5.146e-9
331.814	-5.147e-9
332.814	-5.148e-9
333.814	-5.148e-9
334.814	-5.148e-9
335.814	-5.148e-9
336.814	-5.147e-9
337.814	-5.147e-9
338.814	-5.146e-9
339.814	-5.146e-9
340.814	-5.146e-9
341.814	-5.146e-9
342.814	-5.147e-9
343.814	-5.147e-9
344.814	-5.147e-9
345.814	-5.146e-9
346.814	-5.146e-9
347.814	-5.146e-9
348.814	-5.146e-9
349.814	-5.146e-9
350.814	-5.146e-9
351.814	-5.145e-9
352.814	-5.146e-9
353.814	-5.147e-9
354.814	-5.147e-9
355.814	-5.147e-9
356.814	-5.146e-9
357.814	-5.146e-9
358.814	-5.145e-9
359.814	-5.145e-9
360.814	-5.145e-9
361.814	-5.145e-9
362.814	-5.146e-9
363.814	-5.146e-9
364.814	-5.146e-9
365.814	-5.146e-9
366.814	-5.146e-9
367.814	-5.144e-9
368.814	-5.144e-9
369.814	-5.144e-9
370.814	-5.144e-9
371.814	-5.145e-9
372.814	-5.145e-9
373.814	-5.145e-9
374.814	-5.146e-9
375.814	-5.145e-9
376.814	-5.145e-9
377.814	-5.144e-9
378.814	-5.143e-9
379.814	-5.144e-9
380.814	-5.143e-9
381.814	-5.144e-9
382.814	-5.144e-9
383.814	-5.145e-9
384.814	-5.145e-9
385.814	-5.145e-9
386.814	-5.145e-9
387.814	-5.144e-9
388.814	-5.143e-9
389.814	-5.143e-9
390.814	-5.143e-9
391.814	-5.143e-9
392.814	-5.144e-9
393.814	-5.143e-9
394.814	-5.144e-9
395.814	-5.144e-9
396.814	-5.144e-9
397.814	-5.143e-9
398.814	-5.142e-9
399.814	-5.142e-9
400.814	-5.142e-9
401.814	-5.143e-9
402.814	-5.143e-9
403.814	-5.143e-9
404.814	-5.144e-9
405.814	-5.143e-9
406.814	-5.143e-9
407.814	-5.142e-9
408.814	-5.142e-9
409.814	-5.142e-9
410.814	-5.142e-9
411.814	-5.142e-9
412.814	-5.143e-9
413.814	-5.144e-9
414.814	-5.144e-9
415.814	-5.143e-9
416.814	-5.143e-9
417.814	-5.142e-9
418.814	-5.141e-9
419.814	-5.141e-9
420.814	-5.141e-9
421.814	-5.141e-9
422.814	-5.141e-9
423.814	-5.143e-9
424.814	-5.143e-9
425.814	-5.142e-9
426.814	-5.142e-9
427.814	-5.142e-9
428.814	-5.141e-9
429.814	-5.141e-9
430.814	-5.141e-9
431.814	-5.141e-9
432.814	-5.142e-9
433.814	-5.142e-9
434.814	-5.142e-9
435.814	-5.142e-9
436.814	-5.141e-9
437.814	-5.140e-9
438.814	-5.140e-9
439.814	-5.141e-9
440.814	-5.140e-9
441.814	-5.140e-9
442.814	-5.142e-9
443.814	-5.142e-9
444.814	-5.141e-9
445.814	-5.141e-9
446.814	-5.141e-9
447.814	-5.140e-9
448.814	-5.139e-9
449.814	-5.140e-9
450.814	-5.140e-9
451.814	-5.140e-9
452.814	-5.141e-9
453.814	-5.141e-9
454.814	-5.141e-9
455.814	-5.140e-9
456.814	-5.141e-9
457.814	-5.139e-9
458.814	-5.139e-9
459.814	-5.139e-9
460.814	-5.139e-9
461.814	-5.139e-9
462.814	-5.140e-9
463.814	-5.141e-9
464.814	-5.141e-9
465.814	-5.140e-9
466.814	-5.140e-9
467.814	-5.140e-9
468.814	-5.139e-9
469.814	-5.140e-9
470.814	-5.139e-9
471.814	-5.139e-9
472.814	-5.140e-9
473.814	-5.141e-9
474.814	-5.141e-9
475.814	-5.141e-9
476.814	-5.140e-9
477.814	-5.139e-9
478.814	-5.138e-9
479.814	-5.138e-9
480.814	-5.139e-9
481.814	-5.140e-9
482.814	-5.140e-9
483.814	-5.140e-9
484.814	-5.140e-9
485.814	-5.140e-9
486.814	-5.140e-9
487.814	-5.139e-9
488.814	-5.138e-9
489.814	-5.139e-9
490.814	-5.138e-9
491.814	-5.138e-9
492.814	-5.140e-9
493.814	-5.140e-9
494.814	-5.140e-9
495.814	-5.139e-9
496.814	-5.139e-9
497.814	-5.139e-9
498.814	-5.138e-9
499.814	-5.139e-9
500.814	-5.138e-9
501.814	-5.138e-9
502.814	-5.139e-9
503.814	-5.139e-9
504.814	-5.139e-9
505.814	-5.139e-9
506.814	-5.139e-9
507.814	-5.139e-9
508.814	-5.138e-9
509.814	-5.139e-9
510.814	-5.138e-9
511.814	-5.139e-9
512.814	-5.139e-9
513.814	-5.138e-9
514.814	-5.139e-9
515.814	-5.139e-9
516.814	-5.139e-9
517.814	-5.139e-9
518.814	-5.138e-9
519.814	-5.138e-9
520.814	-5.138e-9
521.814	-5.138e-9
522.814	-5.139e-9
523.814	-5.139e-9
524.814	-5.139e-9
525.814	-5.138e-9
526.814	-5.139e-9
